Itemcode,Barcode,ItemName,Unit,PhysicalCount,Converted,Region,CountingTime
117516,8934563506155,NHO MAI MAI Mi Lau Thai 84g/1 To,TO,5,1,4014400915945,20210329134337
117530,8934563347130,NHO MAI MAI Mien Suon 65g/1 To,TO,8,1,Backroom,20210329133643
117736,8934673302814,ONG THO Sua Dac Co Duong Hop Do 40g/1 Goi,GOI,2,1,Display,20210329124136
118027,8934563304157,PHU HUONG Mien Lau Thai 55g/1 Goi,GOI,7,1,Backroom,20210329133656
118106,031146150601,SHIN Mi Cay 120g/1 Goi,GOI,5,1,Display,20210329123718
118118,031146270606,SHIN Mi Cay 68g/1 Ly,LY,3,1,Display,20210329123516
119409,3073781110685,LAUGHING COW Pho Mai Vien Vi Sua 78g/1 Hop,HOP,8,1,Display,20210329132745
119643,8934841901962,DUTCH LADY Sua Tiet Trung Co Duong 1L/1 Hop,HOP,3,1,Display,20210329132954
119966,9556007000532,HOMESOY Sua Dau Nanh 1L/1 Hop,HOP,12,1,Display,20210329132958
120123,8934804025766,MILO Sua Lua Mach 180ml/1 Hop,HOP,15,1,Display,20210329132646
120317,8934673601825,VINAMILK Sua Chua An Nha Dam 100g/1 Hop,HOP,20,1,Display,20210329132830
120355,8934673576345,VINAMILK Sua Tiet Trung Khong Duong 180ml/1 Hop,HOP,15,1,Display,20210329132900
120367,8934673574341,VINAMILK Sua Tiet Trung Dau 180ml/1 Hop,HOP,20,1,Display,20210329132921
120379,8934673573399,VINAMILK Sua Tiet Trung Co Duong 1L/1 Hop,HOP,8,1,Display,20210329132950
120525,8934673607827,VINAMILK Sua Chua An Vi Dau 100g/1 Hop,HOP,15,1,Display,20210329132855
120525,8934673607827,VINAMILK Sua Chua An Vi Dau 100g/1 Hop,HOP,5,1,Bad Merchandise,20210329134354
120537,8934673606820,VINAMILK Sua Chua An Co Duong 100g/1 Hop,HOP,12,1,Display,20210329132827
120537,8934673606820,VINAMILK Sua Chua An Co Duong 100g/1 Hop,HOP,8,1,Bad Merchandise,20210329134355
120549,8934572194176,VISSAN Xuc Xich Bo 40g/1 Cay,CAY,20,1,Display,20210329123609
120575,8934572194183,VISSAN Xuc Xich Bo 70g/1 Cay,CAY,10,1,Display,20210329123611
121074,8935020209602,DA LAT Ruou Vang Trang 12% Do Con 750ml/1 Chai,CHAI,1,1,Display,20210329133037
121476,40677767,MAST JAGERMEISTER Ruou Thao Moc 35% Do Con 200ml/1 Chai,CHAI,5,1,Display,20210329133048
121543,7804634121260,PASSION Ruou Vang Do Cabernet Sauvignon 13.5% Do Con 750ml/1 Chai,CHAI,2,1,Display,20210329133042
122028,9414453906078,VODKA CRUISER Ruou Vi Viet Quat 4.6% 275ml/1Chai,CHAI,7,1,Display,20210329131416
122157,9322214008988,YELLOW TAIL Ruou Vang Do Cabernet Sauvignon 750ml/1 Chai,CHAI,3,1,Display,20210329133039
123474,8935006531048,ACNES Giay Tham Dau 100 to/1 Goi,GOI,5,1,Display,20210329124842
123486,8935006530966,ACNES Kem Rua Mat Ngua Mun 100g/1 Tuyp,TUYP,4,1,Display,20210329124652
123682,8934868152514,CLEAR MEN Dau Goi Bac Ha 170g/1 Chai,CHAI,2,1,Display,20210329125024
123890,8934868113379,DOVE Dau Goi Phuc Hoi Hu Ton 170g/1 Chai,CHAI,2,1,Display,20210329124437
123917,8934868146803,DOVE Dau Xa Phuc Hoi Hu Ton 170G/1 Chai,CHAI,3,1,Display,20210329124438
123931,8934868114376,DOVE Sua Tam Duong Am Sau 180g/1Chai,CHAI,4,1,Display,20210329124421
124117,4983435790608,EASY CLEAN Tam Nhua SS 60pcs/1Goi,GOI,5,1,Display,20210329125100
124179,7702018965199,GILLETTE Dao Cao Can Vang 2pcs/1Goi,GOI,5,1,Display,20210329124905
124210,8888826016175,GILLETTE Dao Cao Rau Vector Plus 1pcs/1Cay,CAY,2,1,Display,20210329124908
124210,8888826016175,GILLETTE Dao Cao Rau Vector Plus 1pcs/1Cay,CAY,10,1,Display,20210329124910
124296,4902430375825,HEAD&SHOULDERS Dau Goi Bac Ha Mat Lanh 173ml/1 Chai,CHAI,3,1,Display,20210329124426
124521,8888336008936,KOTEX Style Bang Ve Sinh Sieu Mong Canh 8pcs/1Goi,GOI,6,1,Display,20210329124355
124533,8936123410063,LACTACYD Dung Dich Ve Sinh P.Nu Hang Ngay 150ml/1Chai,CHAI,2,1,Display,20210329124416
124650,012547433654,LISTERINE PhimNgam Bac Ha 24pcs/1 Vi,VI,4,1,Display,20210329122636
124791,4005808663019,NIVEA Lan Ngan Mui Black & White 50ml/1Chai,CHAI,3,1,Display,20210329124301
124844,4005808330430,NIVEA MEN Lan Ngan Mui Mat Lanh 50ml/1 Chai,CHAI,4,1,Display,20210329124922
124870,4005808321711,NIVEA MEN Lan Ngan Mui Sieu Phan Tu Bac Nam 50ml/1 Chai,CHAI,3,1,Display,20210329124924
124909,4005808364848,NIVEA Lan Ngan Mui Trang Mo Tham 50ml/1 Chai,CHAI,3,1,Display,20210329124304
124961,4005808355648,NIVEA Sua Duong The Trang Da Dem 250ml/1 Chai,CHAI,1,1,Display,20210329124257
125276,4983435728106,OKAMURA Dau BCKR L 6pcs/1Goi,GOI,5,1,Display,20210329125101
125317,9300647000342,ORAL B Chi Nha Khoa Bac Ha 50m/1 Vi,VI,5,1,Display,20210329125103
125343,8935006531581,OXY Kem Rua Mat 100g/1 Tuyp,TUYP,3,1,Display,20210329125004
125355,8935006531956,OXY Kem Rua Mat Tac Dong Sau 100g/1 Tuyp,TUYP,2,1,Display,20210329125000
125575,4902430451611,REJOICE Dau Goi Sieu Muot 170ml/1 Chai,CHAI,3,1,Display,20210329124425
125692,8935212810081,ROMANO Tam Goi Classic 180g/1Chai,CHAI,4,1,Display,20210329125016
125824,8935006533288,SUNPLAY Kem Chong Nang Skin A.C.White 25g/1 Tuyp,TUYP,2,1,Display,20210329124239
125886,8934868113607,SUNSILK Dau Xa Sieu Mem Muot 170g/1 Chai,CHAI,3,1,Display,20210329124428
126062,8936035200073,VEDETTE MNG Trang Da D.Leo 22ml/1Goi,GOI,10,1,Display,20210329124824
130922,8936140075160,502 Keo Dan Con Voi/1 Hop,HOP,5,1,Display,20210329125405
132360,8936006850504,NUNA Khan Uot Em Be 100pcs/1 Goi,GOI,3,1,Display,20210329125455
132372,8936006850474,NUNA Khan Uot Em Be 30pcs/1 Goi,GOI,7,1,Display,20210329125507
132437,8934868148937,OMO Bot Giat 400g/1 Goi,GOI,4,1,Display,20210329125247
132619,8935018801399,PULPPY Khan Giay Hop Huong Tra 100pcs/1 Hop,HOP,6,1,Display,20210329125333
132621,8935018801610,PULPPY Khan Giay Bo Tui Dung 3 lop/1 Goi,GOI,10,1,Display,20210329125346
132633,8934889240375,RAID MAXX Xit Muoi Huong Chanh 300ml/1 Chai,CHAI,3,1,Display,20210329125229
132906,8934868147367,SUNLIGHT Nuoc Rua Chen Tra Xanh & Chanh 400g/1 Chai,CHAI,2,1,Display,20210329125231
132932,4897024510389,TEMPO Khan Giay Bac Ha 4 Lop/1 Goi,GOI,5,1,Display,20210329125348
132994,8935001800347,THIEN LONG But Bi TL027/1 Cay,CAY,20,1,Display,20210329125539
133376,8936000911034,KEM NGHIA Bam Mong 904/1 Cai,CAI,5,1,Display,20210329125140
133431,8936000910969,KEM NGHIA Kem Mong Thep 205/1 Cai,CAI,8,1,Display,20210329125143
133455,8936000910747,KEM NGHIA Nhip N-401/1 Cai,CAI,10,1,Display,20210329125139
150350,CK09000003,THUAN LOI Nap Ly Nhua/1 Cai,CAI,8,1,Backroom,20210329133514
151782,8931106001016,TP Banh Bao Trung Cut 150g/1 Cai,CAI,15,1,Display,20210329134711
