Itemcode,Barcode,ItemName,Unit,PhysicalCount,Converted,Region,CountingTime
234633,8935040402335,IMPERIAL BLUE Ruou Whisky 700ml/1 Chai,CHAI,2,1,Display,20210329155713
236601,8934637513423,CHOLIMEX Tuong Ot Chai Nhua830g/1 Chai,CHAI,4,1,Display,20210329155556
238140,8938502525146,CK Trung Cut Luoc 10 Cai/1 Goi,GOI,3,1,Display,20210329155121
238459,8936064240019,QL Trung Ga 6 Qua/1 Goi,GOI,12,1,Display,20210329154623
239112,8936127790017,TH Nuoc Tinh Khiet 500ml/1 Chai,CHAI,10,1,Display,20210329160757
240244,8936151030790,GTJ Dua Tuoi/1 Trai,TRAI,30,1,Display,20210329155320
240244,8936151030790,GTJ Dua Tuoi/1 Trai,TRAI,12,1,Bad Merchandise,20210329162904
240888,8934822201210,HEINEKEN Bia Silver 330ml/1 Lon,LON,5,1,Backroom,20210329161209
240985,2100012409858,CK Ly Nhua L (50 cai x 22oz)/1 Goi,GOI,8,1,Backroom,20210329161552
242107,7610700004029,RICOLA Keo Thao Moc Tu Nhien 40g/1 Hop,HOP,5,1,8934563506155,20210329163059
242149,2100012421492,CK Dui Ga Nuong Teriyaki/1 Goi,GOI,5,1,Display,20210329155125
242458,8855796021089,VOLA TWIZT Nuoc Trai Cay Len Men Vi Dau Tam & Viet Quoc 275ml/1 Chai,CHAI,13,1,Backroom,20210329161231
242466,8855796021072,VOLA TWIZT Nuoc Trai Cay Len Men Vi Dau & Vai 275ml/1 Chai,CHAI,17,1,Backroom,20210329161228
242814,8936049051401,OTTOGI Mi Bo Ham 120g/1 Goi,GOI,5,1,Backroom,20210329161834
243721,8934841902761,YOMOST Nuoc Uong Sua Trai Cay Huong Chanh Day Bac Ha 270ml/1 chai,CHAI,5,1,Display,20210329160935
244882,8934804034058,MILO Sua Lua Mach It duong 180ml/1 Hop,HOP,10,1,Display,20210329155254
244913,2100012449137,JBF Sandwich Thit Nguoi Pho Mai/1 Cai,CAI,1,1,Display,20210329155115
245197,8935049501190,FUZE TEA Tra Chanh Sa 450ml/1 Chai,CHAI,5,1,Display,20210329160926
247694,8801118252570,LOTTE Kem Sua Chua Viet Quat 85ml/1 Que,QUE,5,1,Display,20210329163453
248608,8936105164823,SILVA Tui Rac Tu Huy 3p/1 Goi,GOI,1,1,Display,20210329163811
250150,8850228003541,WARRIOR Nuoc Tang Luc Dau 330ml/1 Chai,CHAI,12,1,Display,20210329160750
250168,8850228005446,WARRIOR Nuoc Tang Luc Nho 330ml/1 Chai,CHAI,12,1,Display,20210329160753
250689,8936136160481,COMPACT Nuoc Tang Luc Dau 330ml/1 Chai,CHAI,10,1,Display,20210329160755
251106,8801043044059,NONGSHIM Mi Cay Chapaghetti 137g/1Goi,GOI,7,1,Backroom,20210329161816
251423,9556007002260,HOMESOY Sua Dau Nanh Vi Dua Luoi 250ml/1 Hop,HOP,1,1,Backroom,20210329161349
251546,2900012515463,JBF Com Nam Ca Hoi Mayo/1 Cai,CAI,1,1,Display,20210329155118
251570,2900012515708,JBF Com Tron Han Quoc/1 Hop,HOP,5,1,Display,20210329155129
252097,8801100128906,GOODDAY Ruou Soju Vi Dao 13.5% Do Con 360ml/1 Chai,CHAI,15,1,Backroom,20210329161233
253019,8934614030509,FAMI Sua Dau Nanh Canxi It Duong 200ml/1 Hop,HOP,5,1,Backroom,20210329161347
253394,8935049501244,AQUARIUS Nuoc Uong The Thao Zezo 390ml/1 Chai,CHAI,10,1,Display,20210329160744
253556,8934673700108,ICY Nuoc Tinh Khiet 450ml/1 Chai,CHAI,5,1,Display,20210329160903
253792,9556007000877,HOMESOY Sua Dau Nanh Vi Duong Nau 250ml/1 Hop,HOP,8,1,Display,20210329155302
253807,8936137310144,MOO Sua Chua An It Duong 180g/1 Hop,HOP,5,1,Display,20210329155341
