Item Code	Item Name	BarCode	Unit	Converter
266622	SUNSILK Dau Xa MM Dieu Ky 320g/1Chai	266622	CHAI	1
266622	SUNSILK Dau Xa MM Dieu Ky 320g/1Chai	8934868113539	CHAI	1
266630	SUNSILK Dau Xa Ong Muot 320g/1Chai	266630	CHAI	1
266630	SUNSILK Dau Xa Ong Muot 320g/1Chai	8934868113515	CHAI	1
266648	DOVE Dau Goi Chiet Xuat Hoa Sen 325g/1Chai	266648	CHAI	1
266648	DOVE Dau Goi Chiet Xuat Hoa Sen 325g/1Chai	8934868139898	CHAI	1
266648	DOVE Dau Goi Chiet Xuat Hoa Sen 325g/1Chai	8934868150107	CHAI	1
266656	P/S BCDR Long To MemMai 2pcs/1Cai	266656	CAY	1
266656	P/S BCDR Long To MemMai 2pcs/1Cai	8934839123475	CAY	1
266664	DOVE Sua Tam Chiet Xuat Bo 180g/1Chai	266664	CHAI	1
266664	DOVE Sua Tam Chiet Xuat Bo 180g/1Chai	8934868140429	CHAI	1
266672	DOVE Dau Xa Chiet Xuat HoaSen 500ml/1Chai	266672	CHAI	1
266672	DOVE Dau Xa Chiet Xuat HoaSen 500ml/1Chai	4902111749877	CHAI	1
266680	DOVE Dau Goi Chiet Xuat Bo 500ml/1Chai	266680	CHAI	1
266680	DOVE Dau Goi Chiet Xuat Bo 500ml/1Chai	4902111749815	CHAI	1
266698	SARANGHAEYO B. Tay Trang 80pcs/1Hop	266698	HOP	1
266698	SARANGHAEYO B. Tay Trang 80pcs/1Hop	8809610480200	HOP	1
266703	LOVE BEAUTY Dau Xa Toc Nhuom 400ml/1Chai	266703	CHAI	1
266703	LOVE BEAUTY Dau Xa Toc Nhuom 400ml/1Chai	8886467033056	CHAI	1
266711	LOVE BEAUTY Dau Goi Toc Nhuom 400ml/1Chai	266711	CHAI	1
266711	LOVE BEAUTY Dau Goi Toc Nhuom 400ml/1Chai	8886467033001	CHAI	1
266729	SUNSILK Dau Goi ToaHuong M.Muot 650g/1Chai	266729	CHAI	1
266729	SUNSILK Dau Goi ToaHuong M.Muot 650g/1Chai	8934868142553	CHAI	1
266737	TRESEMME Dau Goi Toc Nhuom 250ml/1Chai	266737	CHAI	1
266737	TRESEMME Dau Goi Toc Nhuom 250ml/1Chai	8851932400985	CHAI	1
266745	DOVE Dau Xa Bong Benh 335g/1Chai	266745	CHAI	1
266745	DOVE Dau Xa Bong Benh 335g/1Chai	8934868117575	CHAI	1
266753	SARANGHAEYO Mat Na Mat 3g/1Goi	266753	GOI	1
266753	SARANGHAEYO Mat Na Mat 3g/1Goi	8809511989505	GOI	1
266761	TRESEMME Dau Goi Keratin 640g/1Chai	266761	CHAI	1
266761	TRESEMME Dau Goi Keratin 640g/1Chai	8934868143291	CHAI	1
266779	TRESEMME Dau Goi Salon Detox 640/1Chai	266779	CHAI	1
266779	TRESEMME Dau Goi Salon Detox 640/1Chai	8934868143314	CHAI	1
266787	DR.MASK Khau Trang 3D 3pcs/1 Goi	266787	GOI	1
266787	DR.MASK Khau Trang 3D 3pcs/1 Goi	8936140890534	GOI	1
266795	DR.MASK Khau Trang Carbon 10pcs/1 Goi	266795	GOI	1
266795	DR.MASK Khau Trang Carbon 10pcs/1 Goi	8938511172935	GOI	1
266818	CLEAR MEN Dau Goi Sach Sau 650g/1Chai	266818	CHAI	1
266818	CLEAR MEN Dau Goi Sach Sau 650g/1Chai	8934868132776	CHAI	1
266826	CLEAR MEN Tam Goi Clean 340g/1Chai	266826	CHAI	1
266826	CLEAR MEN Tam Goi Clean 340g/1Chai	8934868142850	CHAI	1
266834	TRESEMME Dau Xa Salon Detox 340g/1Chai	266834	CHAI	1
266834	TRESEMME Dau Xa Salon Detox 340g/1Chai	8934868134534	CHAI	1
266842	DOVE Dau Goi Chiet Xuat HoaSen 500ml/1Chai	266842	CHAI	1
266842	DOVE Dau Goi Chiet Xuat HoaSen 500ml/1Chai	4902111749853	CHAI	1
266850	LIFEBUOY NRT B.Ve V.Troi 500g/1Chai	266850	CHAI	1
266850	LIFEBUOY NRT B.Ve V.Troi 500g/1Chai	8934868133414	CHAI	1
266868	PONDS Sua Rua Mat Sang Min Da 100g/1Tuyp	266868	TUYP	1
266868	PONDS Sua Rua Mat Sang Min Da 100g/1Tuyp	8999999053031	TUYP	1
266876	DOVE Sua Tam C.Xuat Gao&Hoasen 530g/1Chai	266876	CHAI	1
266876	DOVE Sua Tam C.Xuat Gao&Hoasen 530g/1Chai	8934868140474	CHAI	1
266884	HUGGIES Ta Quan Size M 42pcs/1Goi	266884	GOI	1
266884	HUGGIES Ta Quan Size M 42pcs/1Goi	8935107201345	GOI	1
266892	HUGGIES Ta Quan Size L 38pcs/1Goi	266892	GOI	1
266892	HUGGIES Ta Quan Size L 38pcs/1Goi	8935107201352	GOI	1
266907	HUGGIES Ta Quan Size XL 34pcs/1Goi	266907	GOI	1
266907	HUGGIES Ta Quan Size XL 34pcs/1Goi	8935107201369	GOI	1
